code|name|active
10151507|{"en_US":"SEMILLAS O PLÁNTULAS DE PEPINO COHOMBRO"}|True
10151508|{"en_US":"SEMILLAS O PLÁNTULAS DE BERENJENA"}|True
10151509|{"en_US":"SEMILLAS O PLÁNTULAS DE ENDIVIAS"}|True
10151510|{"en_US":"SEMILLAS O PLÁNTULAS DE AJO"}|True
10151511|{"en_US":"SEMILLAS O PLÁNTULAS DE PUERRO"}|True
10151512|{"en_US":"SEMILLAS O PLÁNTULAS DE LECHUGA"}|True
10151513|{"en_US":"SEMILLAS O PLÁNTULAS DE MAÍZ"}|True
10151514|{"en_US":"SEMILLAS O PLÁNTULAS DE MELÓN"}|True
10151515|{"en_US":"SEMILLAS O PLÁNTULAS CEBOLLA"}|True
10151516|{"en_US":"SEMILLAS O PLÁNTULAS DE SOYA"}|True
10151517|{"en_US":"SEMILLAS O PLÁNTULAS DE ESPINACA"}|True
10151518|{"en_US":"SEMILLAS O PLÁNTULAS DE TOMATE"}|True
10151519|{"en_US":"SEMILLAS O PLÁNTULAS DE NABO"}|True
10151520|{"en_US":"SEMILLAS O PLÁNTULAS DE ACELGA"}|True
10151521|{"en_US":"SEMILLAS O PLÁNTULAS DE PIMIENTO MORRÓN"}|True
10151522|{"en_US":"SEMILLAS O PLÁNTULAS DE REMOLACHA"}|True
10151523|{"en_US":"SEMILLAS O PLÁNTULAS DE COLIFLOR"}|True
10151524|{"en_US":"SEMILLAS O PLÁNTULAS DE PEREJIL"}|True
10151525|{"en_US":"SEMILLAS O PLÁNTULAS DE BRÓCOLI"}|True
10151526|{"en_US":"SEMILLAS O PLÁNTULAS DE REPOLLO"}|True
10151527|{"en_US":"SEMILLAS O PLÁNTULAS DE PAPA"}|True
10151528|{"en_US":"SEMILLAS O PLÁNTULAS DE BATATA"}|True
10151529|{"en_US":"SEMILLAS O PLÁNTULAS DE CALABAZA"}|True
10151530|{"en_US":"SEMILLAS O PLÁNTULAS DE RÁBANO"}|True
10151531|{"en_US":"SEMILLAS O PLÁNTULAS DE REPOLLITOS DE BRUSELAS"}|True
10151532|{"en_US":"SEMILLAS O PLÁNTULAS DE AHUYAMA"}|True
10151533|{"en_US":"SEMILLAS O PLÁNTULAS DE OKRA"}|True
10151534|{"en_US":"SEMILLAS O PLÁNTULAS DE MELÓN CANTALUPO"}|True
10151535|{"en_US":"SEMILLAS O PLÁNTULAS DE MANÍ"}|True
10151536|{"en_US":"SEMILLAS O PLÁNTULAS DE CAIGUA"}|True
10151537|{"en_US":"SEMILLAS O PLÁNTULAS DE ESPÁRRAGO"}|True
10151538|{"en_US":"SEMILLAS O PLÁNTULAS DE GARBANZO"}|True
10151539|{"en_US":"SEMILLAS O PLÁNTULAS DE HABA"}|True
10151601|{"en_US":"SEMILLAS DE TRIGO"}|True
10151602|{"en_US":"SEMILLAS DE CANOLA"}|True
10151603|{"en_US":"SEMILLAS DE CEBADA"}|True
10151604|{"en_US":"SEMILLAS DE MIJO"}|True
10151605|{"en_US":"SEMILLAS DE AVENA"}|True
10151606|{"en_US":"SEMILLAS DE AJONJOLÍ"}|True
10151607|{"en_US":"SEMILLAS DE LINAZA"}|True
10151608|{"en_US":"SEMILLAS DE ACEITE DE RICINO"}|True
10151609|{"en_US":"SEMILLAS DE MAÍZ"}|True
10151610|{"en_US":"SEMILLAS DE CENTENO"}|True
10151611|{"en_US":"SEMILLAS DE SORGO"}|True
10151612|{"en_US":"SEMILLAS O PLÁNTULAS DE KIWICHA"}|True
10151613|{"en_US":"SEMILLAS O PLÁNTULAS DE QUÍNOA"}|True
10151701|{"en_US":"SEMILLAS O PLÁNTULAS DE ARROZ"}|True
10151702|{"en_US":"SEMILLAS O PLÁNTULAS DE TRÉBOL"}|True
10151703|{"en_US":"SEMILLAS O PLÁNTULAS DE ALFALFA"}|True
10151704|{"en_US":"SEMILLAS O PLÁNTULAS DE PASTO"}|True
10151705|{"en_US":"SEMILLAS O PLÁNTULAS DE VEZA (GACHAS / GUIJA)"}|True
10151706|{"en_US":"SEMILLAS O PLÁNTULAS DE GUAR"}|True
10151801|{"en_US":"SEMILLAS O PLÁNTULAS DE PIMIENTA"}|True
10151802|{"en_US":"SEMILLAS O PLÁNTULAS DE VAINILLA"}|True
10151803|{"en_US":"SEMILLAS O PLÁNTULAS DE CANELA"}|True
10151804|{"en_US":"SEMILLAS O PLÁNTULAS DE CLAVO DE OLOR"}|True
10151805|{"en_US":"SEMILLAS O PLÁNTULAS DE CILANTRO"}|True
10151806|{"en_US":"SEMILLAS O PLÁNTULAS DE JENGIBRE"}|True
10151807|{"en_US":"SEMILLAS O PLÁNTULAS DE AZAFRÁN"}|True
10151808|{"en_US":"SEMILLAS O PLÁNTULAS DE TOMILLO"}|True
10151809|{"en_US":"SEMILLAS O PLÁNTULAS DE CURRY"}|True
10151810|{"en_US":"SEMILLAS O PLÁNTULAS DE MOSTAZA"}|True
10151811|{"en_US":"SEMILLAS O PLÁNTULAS DE GINSENG"}|True
10151812|{"en_US":"SEMILLAS O PLÁNTULAS DE CHAMPIÑONES"}|True
10151813|{"en_US":"SEMILLAS O PLÁNTULAS DE SACHA INCHI"}|True
10151814|{"en_US":"SEMILLAS O PLÁNTULAS DE ACHIOTE"}|True
10151815|{"en_US":"SEMILLAS O PLÁNTULAS DE KUDZU"}|True
10151816|{"en_US":"SEMILLAS O PLÁNTULAS DE ALBAHACA"}|True
10151817|{"en_US":"SEMILLAS O PLÁNTULAS DE ANÍS"}|True
10151901|{"en_US":"SEMILLAS, BULBOS, PLÁNTULAS O ESQUEJES DE TULIPÁN"}|True
10151902|{"en_US":"SEMILLAS, PLÁNTULAS O ESQUEJES DE ROSA"}|True
10151903|{"en_US":"SEMILLAS, BULBOS, PLÁNTULAS O ESQUEJES DE NARCISO"}|True
10151904|{"en_US":"SEMILLAS DE GIRASOL"}|True
10151905|{"en_US":"BULBOS O TALLOS DE JACINTO"}|True
10151906|{"en_US":"BULBOS DE LIRIO"}|True
10151907|{"en_US":"SEMILLAS O PLÁNTULAS DE VEZA"}|True
10152001|{"en_US":"SEMILLAS O ESQUEJES DE ÁRBOLES FRUTALES"}|True
10152002|{"en_US":"SEMILLAS O ESQUEJES DE CONÍFERAS"}|True
10152003|{"en_US":"SEMILLAS O ESQUEJES DE ÁRBOLES DE FRUTOS SECOS"}|True
